iter	RMSE
0	13.13037173
1	11.92645275
2	10.84202164
3	9.856166885
4	8.970918488
5	8.177932986
6	7.456695802
7	6.813765724
8	6.236873837
9	5.727226967
10	5.266752119
11	4.863065005
12	4.502238736
13	4.184635626
14	3.900967583
15	3.643481634
16	3.422248383
17	3.230949746
18	3.05454867
19	2.91024075
20	2.775970519
21	2.666438762
22	2.572401145
23	2.482003995
24	2.404198309
25	2.344808864
26	2.287357969
27	2.241495172
28	2.197160493
29	2.158125311
30	2.124258276
31	2.094845506
32	2.073470311
33	2.053168012
34	2.030321002
35	2.014575875
36	1.997422707
37	1.982469428
38	1.968829906
39	1.959146395
40	1.948613363
41	1.940120024
42	1.931949947
43	1.922700753
44	1.916575743
45	1.910545517
46	1.903132414
47	1.898031596
48	1.891903073
49	1.888222792
50	1.883562326
51	1.879421576
52	1.875264767
53	1.871370036
54	1.868512329
55	1.86278807
56	1.860127439
57	1.856109373
58	1.851978437
59	1.849805523
60	1.847890933
61	1.84421144
62	1.841410307
63	1.837787241
64	1.833744658
65	1.832124588
66	1.828504015
67	1.825424245
68	1.822028501
69	1.819074002
70	1.815809696
71	1.811567851
72	1.809357717
73	1.805566855
74	1.801502044
75	1.796916206
76	1.792577911
77	1.788399929
78	1.784400593
79	1.780631255
80	1.776581212
81	1.774916067
82	1.770933394
83	1.768501287
84	1.764615314
85	1.760859899
86	1.757670047
87	1.754899984
88	1.751417261
89	1.748172844
90	1.745318709
91	1.742810725
92	1.739595172
93	1.737357558
94	1.734124239
95	1.730996804
96	1.727492237
97	1.724360025
98	1.722344956
99	1.719684558
100	1.717065564
101	1.714967586
102	1.712334121
103	1.71023113
104	1.70812722
105	1.704607434
106	1.702686805
107	1.699595537
108	1.696531763
109	1.694103095
110	1.6912838
111	1.688112337
112	1.686024967
113	1.683796737
114	1.681547243
115	1.678618559
116	1.676897287
117	1.67492393
118	1.673033806
119	1.670035956
120	1.667605276
121	1.665081034
122	1.663322286
123	1.661188822
124	1.658856588
125	1.656528342
126	1.655090447
127	1.653034991
128	1.650241112
129	1.648069544
130	1.646511142
131	1.644509737
132	1.642091842
133	1.640632065
134	1.638727692
135	1.636722046
136	1.634589831
137	1.633008211
138	1.631322496
139	1.629132923
140	1.627489612
141	1.625296991
142	1.623733289
143	1.62243315
144	1.621479554
145	1.619432684
146	1.617661061
147	1.616131842
148	1.61382129
149	1.61140941
150	1.610106705
151	1.608445911
152	1.606399733
153	1.604766149
154	1.602920913
155	1.601531385
156	1.600040597
157	1.598331493
158	1.596739241
159	1.59503051
160	1.593548379
161	1.591069083
162	1.589601691
163	1.588339601
164	1.586944565
165	1.585337784
166	1.5834417
167	1.581823816
168	1.580870384
169	1.579267238
170	1.577887091
171	1.576506895
172	1.574570618
173	1.573215756
174	1.571510036
175	1.569755845
176	1.568372905
177	1.566618672
178	1.565305326
179	1.56446166
180	1.563046456
181	1.561745618
182	1.560522214
183	1.559692609
184	1.558466969
185	1.557108797
186	1.555198363
187	1.553877374
188	1.552462217
189	1.551208491
190	1.549519271
191	1.548241374
192	1.547310778
193	1.546165039
194	1.544826985
195	1.54357391
196	1.542151617
197	1.540552074
198	1.539295898
199	1.538083831
200	1.536966436
201	1.535596503
202	1.534551322
203	1.53334592
204	1.532008047
205	1.530826843
206	1.530126299
207	1.529101969
208	1.528129915
209	1.526461906
210	1.525385069
211	1.524362143
212	1.522848944
213	1.521556649
214	1.520506754
215	1.519265293
216	1.518096912
217	1.517051814
218	1.516265464
219	1.515044677
220	1.514206503
221	1.513503087
222	1.512287724
223	1.510962605
224	1.509731145
225	1.508361626
226	1.506924813
227	1.505737649
228	1.504681608
229	1.503805422
230	1.502936399
231	1.501868534
232	1.500833158
233	1.499896962
234	1.498864737
235	1.497856527
236	1.496877944
237	1.495963237
238	1.494570882
239	1.493269845
240	1.492228122
241	1.491312994
242	1.490511639
243	1.48943554
244	1.488437043
245	1.487807095
246	1.486720735
247	1.485808079
248	1.484748396
249	1.484082164
250	1.48296846
251	1.482295478
252	1.481015685
253	1.480120761
254	1.479586308
255	1.478993467
256	1.477809014
257	1.476871785
258	1.475853761
259	1.475007663
260	1.474322214
261	1.473152977
262	1.472146282
263	1.471432872
264	1.470647482
265	1.470018345
266	1.469117459
267	1.46796
268	1.467051604
269	1.465577574
270	1.464763146
271	1.463985956
272	1.463085487
273	1.46230479
274	1.461421805
275	1.460679682
276	1.460000625
277	1.459078344
278	1.458495934
279	1.457590011
280	1.456359265
281	1.455637166
282	1.454664316
283	1.454016296
284	1.453015085
285	1.451974051
286	1.451180703
287	1.450508096
288	1.449737442
289	1.448941627
290	1.448096713
291	1.447233664
292	1.446465301
293	1.445886664
294	1.445294933
295	1.444500539
296	1.443624756
297	1.442962403
298	1.442278546
299	1.441733818
300	1.440942096
301	1.440105682
302	1.439507381
303	1.438889536
304	1.438260002
305	1.437439236
306	1.437044713
307	1.43631146
308	1.43579282
309	1.435147043
310	1.434384673
311	1.433507635
312	1.432761173
313	1.431994045
314	1.431145347
315	1.430161356
316	1.429398466
317	1.428991481
318	1.428321303
319	1.427465897
