iter	Passed	Remaining
0	115	115077
1	232	115805
2	349	116181
3	469	116857
4	2342	466125
5	3568	591102
6	3671	520844
7	3783	469116
8	3886	427937
9	3995	395525
10	4094	368157
11	4198	345657
12	4299	326429
13	4402	310082
14	4512	296296
15	4625	284464
16	4734	273783
17	4844	264310
18	4947	255433
19	5050	247488
20	5158	240462
21	5273	234414
22	5380	228559
23	5486	223116
24	5594	218182
25	5712	213998
26	5834	210267
27	5943	206310
28	6062	202982
29	6175	199686
30	6283	196417
31	6401	193653
32	6507	190696
33	6601	187569
34	6707	184931
35	6809	182338
36	6915	180000
37	7019	177704
38	7132	175748
39	7238	173719
40	7342	171753
41	7457	170095
42	7562	168318
43	7673	166725
44	7779	165105
45	7886	163555
46	8009	162413
47	8126	161182
48	8230	159748
49	8344	158542
50	8454	157326
51	8561	156084
52	8668	154886
53	8781	153837
54	8892	152794
55	9009	151876
56	9131	151068
57	9242	150106
58	9351	149154
59	9453	148109
60	9557	147129
61	9671	146318
62	9796	145707
63	9941	145397
64	10081	145011
65	10227	144734
66	10361	144283
67	10504	143975
68	10638	143543
69	10774	143149
70	10898	142603
71	11042	142330
72	11172	141873
73	11292	141306
74	11436	141049
75	11566	140623
76	11699	140243
77	11817	139692
78	11926	139039
79	12052	138606
80	12176	138146
81	12319	137918
82	12445	137501
83	12602	137423
84	12749	137240
85	12867	136750
86	12992	136344
87	13138	136160
88	13264	135771
89	13385	135339
90	13514	134991
91	13638	134609
92	13765	134255
93	13896	133941
94	14019	133557
95	14141	133163
96	14271	132853
97	14398	132528
98	14520	132150
99	14645	131812
100	14796	131706
101	14937	131510
102	15066	131210
103	15202	130976
104	15327	130645
105	15450	130308
106	15582	130044
107	15717	129814
108	15841	129493
109	15967	129195
110	16091	128874
111	16229	128678
112	16365	128460
113	16486	128134
114	16606	127796
115	16743	127593
116	16869	127317
117	17016	127192
118	17178	127176
119	17307	126923
120	17448	126754
121	17584	126552
122	17716	126317
123	17845	126071
124	17965	125757
125	18086	125455
126	18211	125184
127	18348	124995
128	18495	124877
129	18625	124645
130	18759	124441
131	18879	124143
132	19005	123895
133	19134	123660
134	19280	123540
135	19423	123395
136	19560	123218
137	19712	123131
138	19851	122965
139	19991	122803
140	20118	122566
141	20249	122351
142	20388	122185
143	20522	121994
144	20654	121791
145	20783	121570
146	20901	121284
147	21028	121057
148	21148	120790
149	21277	120574
150	21399	120319
151	21565	120312
152	21717	120227
153	21847	120019
154	21972	119784
155	22090	119516
156	22227	119347
157	22367	119200
158	22502	119022
159	22636	118841
160	22764	118629
161	22898	118447
162	23031	118264
163	23163	118075
164	23303	117930
165	23443	117784
166	23574	117591
167	23709	117416
168	23859	117321
169	24001	117185
170	24144	117050
171	24273	116851
172	24405	116668
173	24539	116489
174	24685	116375
175	24819	116202
176	24954	116031
177	25072	115785
178	25202	115594
179	25337	115424
180	25478	115287
181	25608	115098
182	25752	114970
183	25911	114913
184	26065	114827
185	26227	114781
186	26384	114708
187	26526	114570
188	26663	114411
189	26824	114358
190	26967	114223
191	27139	114214
192	27277	114058
193	27413	113894
194	27560	113774
195	27703	113642
196	27834	113456
197	27987	113362
198	28123	113198
199	28261	113047
200	28423	112987
201	28565	112848
202	28698	112672
203	28847	112560
204	28991	112430
205	29119	112235
206	29270	112131
207	29416	112008
208	29565	111895
209	29712	111774
210	29850	111619
211	29994	111490
212	30144	111378
213	30286	111239
214	30417	111060
215	30556	110909
216	30723	110859
217	30862	110710
218	30975	110464
219	31101	110267
220	31241	110122
221	31376	109960
222	31505	109775
223	31653	109655
224	31790	109501
225	31936	109373
226	32067	109199
227	32213	109073
228	32355	108935
229	32493	108781
230	32621	108596
231	32746	108403
232	32886	108256
233	33046	108176
234	33179	108009
235	33318	107862
236	33456	107709
237	33590	107547
238	33734	107413
239	33875	107271
240	33996	107069
241	34139	106932
242	34277	106781
243	34417	106636
244	34552	106479
245	34699	106354
246	34839	106209
247	34986	106087
248	35114	105908
249	35275	105826
250	35425	105711
251	35554	105536
252	35706	105426
253	35836	105251
254	35979	105116
255	36119	104973
256	36247	104793
257	36384	104640
258	36528	104508
259	36669	104367
260	36802	104201
261	36939	104049
262	37073	103889
263	37202	103715
264	37354	103605
265	37499	103476
266	37649	103360
267	37786	103207
268	37924	103058
269	38047	102869
270	38193	102741
271	38319	102559
272	38447	102386
273	38584	102235
274	38720	102080
275	38855	101925
276	38992	101773
277	39128	101620
278	39276	101498
279	39413	101348
280	39550	101199
281	39698	101077
282	39831	100916
283	39966	100761
284	40095	100590
285	40240	100460
286	40374	100302
287	40517	100167
288	40644	99993
289	40788	99860
290	40932	99729
291	41057	99550
292	41186	99382
293	41326	99240
294	41455	99071
295	41579	98891
296	41720	98752
297	41861	98614
298	42008	98488
299	42152	98355
300	42298	98228
301	42451	98116
302	42586	97962
303	42738	97848
304	42870	97689
305	43009	97545
306	43149	97401
307	43298	97281
308	43438	97138
309	43564	96967
310	43712	96842
311	43857	96711
312	44004	96585
313	44142	96437
314	44284	96300
315	44415	96139
316	44553	95993
317	44700	95866
318	44824	95690
319	44973	95568
320	45116	95434
321	45267	95314
322	45396	95150
323	45539	95014
324	45666	94845
325	45805	94702
326	45945	94561
327	46090	94428
328	46226	94279
329	46365	94135
330	46514	94011
331	46674	93910
332	46821	93782
333	46940	93599
334	47064	93425
335	47207	93290
336	47356	93166
337	47504	93040
338	47644	92899
339	47792	92773
340	47926	92621
341	48062	92471
342	48200	92325
343	48344	92192
344	48470	92022
345	48609	91880
346	48741	91723
347	48888	91594
348	49037	91471
349	49168	91312
350	49298	91153
351	49447	91028
352	49573	90861
353	49707	90709
354	49846	90566
355	49985	90423
356	50127	90286
357	50267	90143
358	50396	89983
359	50526	89824
360	50656	89666
361	50795	89523
362	50932	89376
363	51075	89242
364	51207	89086
365	51343	88939
366	51477	88788
367	51615	88644
368	51763	88517
369	51895	88361
370	52024	88203
371	52162	88059
372	52285	87889
373	52419	87740
374	52541	87568
375	52685	87436
376	52816	87279
377	52954	87137
378	53097	87001
379	53243	86871
380	53401	86760
381	53544	86623
382	53688	86489
383	53817	86331
384	53957	86191
385	54082	86027
386	54228	85896
387	54386	85784
388	54526	85643
389	54667	85506
390	54804	85360
391	54926	85192
392	55059	85041
393	55197	84897
394	55323	84736
395	55449	84575
396	55623	84485
397	55767	84351
398	55906	84209
399	56033	84050
400	56170	83905
401	56339	83808
402	56495	83691
403	56639	83557
404	56781	83419
405	56922	83280
406	57070	83152
407	57225	83032
408	57373	82903
409	57522	82776
410	57664	82638
411	57801	82493
412	57956	82374
413	58096	82233
414	58250	82112
415	58406	81993
416	58539	81843
417	58684	81709
418	58812	81550
419	58950	81407
420	59077	81249
421	59206	81093
422	59338	80942
423	59474	80795
424	59608	80646
425	59733	80486
426	59898	80378
427	60046	80249
428	60210	80140
429	60362	80015
430	60514	79889
431	60645	79736
432	60770	79576
433	60894	79414
434	61017	79252
435	61161	79117
436	61297	78971
437	61435	78827
438	61570	78681
439	61699	78526
440	61837	78384
441	61966	78228
442	62106	78088
443	62237	77937
444	62400	77825
445	62549	77695
446	62690	77556
447	62817	77400
448	62953	77255
449	63096	77118
450	63224	76962
451	63352	76808
452	63482	76654
453	63604	76493
454	63731	76337
455	63856	76179
456	63980	76021
457	64100	75856
458	64233	75708
459	64350	75541
460	64497	75410
461	64644	75279
462	64796	75152
463	64932	75008
464	65065	74860
465	65208	74724
466	65353	74589
467	65484	74439
468	65616	74291
469	65753	74147
470	65886	73999
471	66034	73868
472	66181	73737
473	66316	73592
474	66450	73444
475	66587	73302
476	66724	73159
477	66856	73011
478	67001	72876
479	67131	72726
480	67267	72581
481	67406	72440
482	67548	72303
483	67674	72149
484	67823	72018
485	67945	71860
486	68071	71705
487	68195	71549
488	68331	71405
489	68466	71261
490	68587	71101
491	68724	70959
492	68851	70806
493	68993	70669
494	69154	70551
495	69290	70408
496	69440	70278
497	69570	70129
498	69719	69999
499	69853	69853
500	70001	69722
501	70142	69584
502	70387	69547
503	70523	69403
504	70675	69276
505	70809	69130
506	70940	68981
507	71089	68849
508	71212	68694
509	71358	68559
510	71515	68436
511	71665	68305
512	71800	68161
513	71928	68010
514	72063	67865
515	72204	67726
516	72329	67572
517	72457	67421
518	72588	67273
519	72727	67132
520	72878	67003
521	73025	66870
522	73162	66727
523	73304	66589
524	73448	66453
525	73600	66324
526	73761	66202
527	73886	66049
528	74019	65904
529	74156	65761
530	74309	65633
531	74446	65490
532	74576	65341
533	74697	65185
534	74828	65038
535	74967	64896
536	75107	64757
537	75249	64619
538	75366	64459
539	75494	64310
540	75644	64178
541	75778	64034
542	75927	63902
543	76075	63768
544	76217	63631
545	76345	63481
546	76515	63366
547	76675	63243
548	76807	63096
549	76953	62961
550	77093	62822
551	77228	62678
552	77373	62542
553	77510	62400
554	77648	62258
555	77785	62116
556	77913	61966
557	78065	61836
558	78228	61715
559	78395	61596
560	78541	61460
561	78695	61331
562	78833	61190
563	78961	61041
564	79100	60900
565	79234	60755
566	79370	60613
567	79505	60468
568	79643	60327
569	79784	60188
570	79903	60032
571	80030	59882
572	80168	59741
573	80303	59597
574	80450	59463
575	80605	59334
576	80755	59202
577	80889	59057
578	81030	58918
579	81172	58780
580	81320	58645
581	81469	58512
582	81610	58373
583	81768	58245
584	81906	58104
585	82030	57953
586	82160	57806
587	82295	57662
588	82425	57515
589	82583	57388
590	82755	57271
591	82911	57141
592	83039	56993
593	83189	56860
594	83329	56720
595	83466	56577
596	83606	56437
597	83737	56291
598	83886	56157
599	84007	56004
600	84146	55864
601	84283	55722
602	84419	55579
603	84547	55431
604	84694	55296
605	84842	55161
606	85014	55042
607	85179	54918
608	85333	54787
609	85481	54651
610	85625	54514
611	85781	54384
612	85944	54258
613	86070	54109
614	86225	53978
615	86382	53848
616	86519	53706
617	86666	53570
618	86799	53425
619	86926	53277
620	87060	53133
621	87192	52988
622	87335	52849
623	87462	52701
624	87596	52558
625	87731	52414
626	87849	52261
627	87975	52112
628	88118	51974
629	88255	51832
630	88394	51691
631	88523	51545
632	88670	51409
633	88805	51266
634	88946	51126
635	89088	50987
636	89211	50837
637	89329	50685
638	89468	50544
639	89623	50413
640	89787	50286
641	89925	50145
642	90061	50003
643	90211	49868
644	90355	49730
645	90496	49591
646	90641	49453
647	90771	49308
648	90895	49159
649	91036	49019
650	91172	48877
651	91309	48735
652	91458	48600
653	91588	48454
654	91741	48321
655	91898	48190
656	92060	48061
657	92206	47925
658	92335	47779
659	92483	47642
660	92627	47504
661	92783	47372
662	92937	47239
663	93090	47106
664	93255	46978
665	93387	46834
666	93533	46696
667	93682	46560
668	93813	46415
669	93945	46271
670	94124	46150
671	94277	46016
672	94425	45879
673	94574	45743
674	94720	45606
675	94867	45469
676	95027	45338
677	95160	45194
678	95321	45063
679	95455	44920
680	95600	44781
681	95756	44649
682	95900	44510
683	96047	44372
684	96202	44239
685	96353	44103
686	96507	43969
687	96655	43832
688	96797	43692
689	96937	43551
690	97079	43411
691	97221	43271
692	97350	43126
693	97487	42984
694	97627	42843
695	97733	42688
696	97860	42541
697	98000	42401
698	98160	42269
699	98300	42128
700	98447	41991
701	98594	41853
702	98736	41713
703	98877	41573
704	99018	41433
705	99160	41293
706	99275	41142
707	99418	41002
708	99531	40851
709	99668	40709
710	99806	40568
711	99943	40426
712	100090	40288
713	100229	40147
714	100364	40005
715	100509	39866
716	100644	39724
717	100780	39582
718	100936	39448
719	101075	39307
720	101215	39166
721	101367	39030
722	101504	38889
723	101641	38747
724	101772	38603
725	101915	38464
726	102052	38322
727	102184	38178
728	102310	38033
729	102464	37897
730	102603	37756
731	102744	37616
732	102889	37478
733	103028	37337
734	103190	37204
735	103340	37067
736	103482	36928
737	103607	36781
738	103743	36640
739	103885	36500
740	104034	36363
741	104159	36217
742	104303	36078
743	104431	35933
744	104570	35792
745	104702	35649
746	104828	35504
747	104976	35366
748	105104	35221
749	105246	35082
750	105388	34942
751	105551	34809
752	105696	34670
753	105842	34532
754	105983	34391
755	106107	34246
756	106242	34104
757	106399	33969
758	106555	33833
759	106696	33693
760	106826	33550
761	106957	33406
762	107109	33269
763	107235	33125
764	107388	32988
765	107522	32846
766	107673	32709
767	107801	32565
